Year,user_id,tweet,features__name,features__id,features__screen_name,features__tweets,features__location,features__primary_geo,features__geo_type,state
2018,7.15E+17,"RT @SenSanders: The fossil fuel industry is now the equivalent of the tobacco industry. It creates death and destruction, and then spends b…",Nicola Filippo,7.15E+17,_nicolafilippo,1,"New York, USA","New York, USA",User location,
2018,1090954574,RT @JWSpry: NOTE TO POLICY MAKERS : 41 Reasons Why Wind 'Power' Can Not Replace Fossil Fuels https://t.co/nbnFxXNzec via @JWSpry #UNreliabl…,Chris,1090954574,Byoz01,1,Buy Australian(Byoz)TQM QSA....,Buy Australian(Byoz)TQM QSA....,User location,
2018,3025118939,"The fact that the potential Dem nominee who said that we don't need choose between the ""false dichotomy"" of fossil… https://t.co/5UM79tAWAj",Bella Ciao 🎩🍽️💀,3025118939,SpookGato,1,"Miami, FL","Miami, FL",User location, Florida
2018,263619084,"RT @MikeHudema: Every year, governments worldwide spend $425B subsidizing fossil fuels, 5x more than they spend on #renewableenergy: https:…",Saleem Akram,263619084,SaleemAkram,1,"London & Solihull, England","London & Solihull, England",User location,
2018,4873776808,"RT @SenSanders: The fossil fuel industry is now the equivalent of the tobacco industry. It creates death and destruction, and then spends b…",So-called “leftist know-it-all” Al D Chuk⏳🧕🏾,4873776808,chukAlsina,1,"Colton, CA","Colton, CA",User location,California
2018,94519058,"RT @SenSanders: The fossil fuel industry is now the equivalent of the tobacco industry. It creates death and destruction, and then spends b…",Bill Costin,94519058,BillCostin,1,"Vancouver, B.C. Canada","Vancouver, B.C. Canada",User location,
2018,18481167,"RT @SenSanders: The fossil fuel industry is now the equivalent of the tobacco industry. It creates death and destruction, and then spends b…",Nancy,18481167,funnygirlNancy,1,Western Mass,Western Mass,User location,Massachusetts
2018,53124252,"RT @SenSanders: The fossil fuel industry is now the equivalent of the tobacco industry. It creates death and destruction, and then spends b…",Jeff Bubin,53124252,jbubin,1,"Palo Alto, CA","Palo Alto, CA",User location, California
2018,8.30E+17,RT @GarrettShorr: can't hear\ncan't speak\ncan't see\ncan’t keep his no fossil fuels money pledge https://t.co/Lb6NbXfDy9,"Lumpy Louise, Enjoys Reading & Shenanigans",8.30E+17,LumpyLouish,1,In and Around Bahston,In and Around Bahston,User location,
2018,8.79E+17,RT @GarrettShorr: can't hear\ncan't speak\ncan't see\ncan’t keep his no fossil fuels money pledge https://t.co/Lb6NbXfDy9,⚔️BarbieTheBerzerkerBarbarian⚔️,8.79E+17,BluntlyBarbie,1,"West Virginia, USA","West Virginia, USA",User location,West Virginia
2018,110261772,"RT @SenSanders: The fossil fuel industry is now the equivalent of the tobacco industry. It creates death and destruction, and then spends b…",Marco Ferreira,110261772,happytoursmarco,1,Madeira island,Madeira island,User location,
2018,9.94E+17,"RT @SenSanders: The fossil fuel industry is now the equivalent of the tobacco industry. It creates death and destruction, and then spends b…",IsabelaCruz,9.94E+17,Barbara12luna,1,"Salvador, Brazil","Salvador, Brazil",User location,
2018,178311192,"RT @SenSanders: The fossil fuel industry is now the equivalent of the tobacco industry. It creates death and destruction, and then spends b…",Dardan Abazi,178311192,DardanAbazi,1,Kosovo,Kosovo,User location,
2018,1248420152,"RT @SenSanders: The fossil fuel industry is now the equivalent of the tobacco industry. It creates death and destruction, and then spends b…",Nigel,1248420152,NigeACT,1,"Canberra, Australia","Canberra, Australia",User location,
2018,9.80E+17,"RT @SenSanders: The fossil fuel industry is now the equivalent of the tobacco industry. It creates death and destruction, and then spends b…",Bethany Cook,9.80E+17,BethCatClaws,1,Ky,Ky,User location,Kentucky
2018,8.86E+17,"RT @SenSanders: The fossil fuel industry is now the equivalent of the tobacco industry. It creates death and destruction, and then spends b…",Dave Dekker,8.86E+17,DaveDekker4,1,"New Mexico, USA","New Mexico, USA",User location,New Mexico
2018,9.43E+17,"RT @SenSanders: The fossil fuel industry is now the equivalent of the tobacco industry. It creates death and destruction, and then spends b…",Karla Ruthford,9.43E+17,RuthfordKarla,1,Minnesota,Minnesota,User location,Minnesota
2018,781458067,RT @nathanpboston: How can you credibly refer to a “costly crisis” when you are directly invested in & profiting from the fossil fuel indus…,Laura 🌅‏,781458067,TutusNTinyHats,1,"Boston, MA","Boston, MA",User location, Massachusetts
2018,1.06E+18,"RT @MikeHudema: Every year, governments worldwide spend $425B subsidizing fossil fuels, 5x more than they spend on #renewableenergy: https:…",ianinindo,1.06E+18,ianinindo1,1,"Central Borneo, Indonesia","Central Borneo, Indonesia",User location,
2018,9.66E+17,"RT @SenSanders: The fossil fuel industry is now the equivalent of the tobacco industry. It creates death and destruction, and then spends b…",chris witcher,9.66E+17,wickedwitcherr,1,"Minnesota, USA","Minnesota, USA",User location,Minnesota
2018,859029968,"@cambird @AndrewScheer 2 have others consider your views, it would help not 2 call them names. You assume 2 much. I… https://t.co/VVJl53AutE",patrick callaghan,859029968,patricklpc,1,canada,canada,User location,
2018,8.11E+17,@SenSanders Fossil fuels have helped sustain humans and economies for many decades. Without them there would be muc… https://t.co/zGgifOPhJo,Tom Johnson,8.11E+17,tjohnsononfly,1,"Maine, USA","Maine, USA",User location,Maine
2018,135191649,"RT @SenSanders: The fossil fuel industry is now the equivalent of the tobacco industry. It creates death and destruction, and then spends b…",Mahari Mengistu,135191649,Mandelamen,1,"Los Angeles, CA","Los Angeles, CA",User location, California
2018,9.79E+17,@SenSanders Your a fossil who fuels hate.,Brisco,9.79E+17,Brisco49647973,1,prison planet Earth,prison planet Earth,User location,
2018,9.27E+17,"RT @SenSanders: The fossil fuel industry is now the equivalent of the tobacco industry. It creates death and destruction, and then spends b…",Maree Haley,9.27E+17,mareehaley_,1,"Melbourne, Victoria","Melbourne, Victoria",User location,
2018,385549081,"RT @SenSanders: The fossil fuel industry is now the equivalent of the tobacco industry. It creates death and destruction, and then spends b…",Michael Callahan,385549081,Calhoun_353,1,"Roswell, Georgia","Roswell, Georgia",User location, Georgia
2018,17603992,"RT @SenSanders: The fossil fuel industry is now the equivalent of the tobacco industry. It creates death and destruction, and then spends b…",trekkerv,17603992,trekkerv,1,Central Pennsylvania,Central Pennsylvania,User location,Pennsylvania
2018,1948115916,"RT @SenSanders: The fossil fuel industry is now the equivalent of the tobacco industry. It creates death and destruction, and then spends b…",Johan V Karlsson ☀️⚡,1948115916,johan_energy,1,Melbourne,Melbourne,User location,
2018,7.75E+17,"RT @SenSanders: The fossil fuel industry is now the equivalent of the tobacco industry. It creates death and destruction, and then spends b…",RRod,7.75E+17,arodneyvrod,1,"Winter Springs, FL","Winter Springs, FL",User location,Florida
